Prosthetic Feet Reference Guide												
Manfac	Foot	Lcode	Lcode	Lcode	Lcode	HD	Hanger Price	Reimb	%	PDAC Approval	Value	
"K2 Flexible Keel with Hydraulic multiaxial ankle:     L5968,  L5972"								"$4,046 "				
Blatchford	Avalon	L5968	L5972	 	 	AV-FOOT	1353.19	4046	33%	NO PDAC APPROVAL	75	
College_Park	Odyssey	L5968	L5972	 	 	OK2-KIT	1113	4046	28%	NO PDAC APPROVAL	35	
Ossur	K2 Sensation with D/P Ankle	L5968	L5972	 	 	K2D-FOOT	1232.57	4046	30%	NO PDAC APPROVAL	35	
Otto_Bock_Freedom	Kintrol	L5968	L5972	 	 	VS4-KIT	1272	4046	31%	NO PDAC APPROVAL	10	
"K3 Flexwalk with Hydraulic Multiaxial ankle:     L5968,  L5981"								"$6,657 "				
Blatchford	Echelon	L5968	L5981	 	 	EC-ST-KIT	1883.36	6657	28%	1/1/2011	75	
College_Park	Odyssey K3	L5968	L5981	 	 	ODK3-KIT	1589.99	6657	24%	NO PDAC APPROVAL	75	
Proteor_Ability_Freedom	Kinterra	L5968	L5981	 	 	ROM-KIT	1861.36	6657	28%	NO PDAC APPROVAL	75	
Blatchford	EchelonER	L5968	L5981	 	 	ECER-FOOT	2169.72	6657	33%	1/1/2011	35	
"K3 Flexwalk with with Hydraulic Multiaxial ankle and adjustable heel height: L5968, L5981, L5990"								"$8,488 "				
Motion_Control	Motion MX	L5968	L5981	L5990	 	50200-KIT	5271.21	8488	62%	NO PDAC APPROVAL	10	
"K3 Flexwalk with Hydraulic Multiaxial ankle and Vertical Shock:     L5968,  L5981, L5988"								"$8,673 "				
Blatchford	Echelon VT	L5968	L5981	L5988	 	ECVT-L-KIT	3216.57	8673	37%	NO PDAC APPROVAL	75	
SACH:     L5971								$203 				
Trulife	Seattle Sach	L5971				SCH11x-FOOT	82.04	203	40%	NO PDAC APPROVAL	75	
WillowWood	Sach Foot (SFP)	L5971				SFP-FOOT	88.99	203	44%	NO PDAC APPROVAL	35	
K2 Flexible Heel:     L5972								$379 				
